Code
Y02T  10/00
Y02T  10/10
Y02T  10/12
Y02T  10/126
Y02T  10/163
Y02T  10/30
Y02T  10/40
Y02T  10/48
Y02T  10/60
Y02T  10/62
Y02T  10/6226
Y02T  10/6239
Y02T  10/6265
Y02T  10/6269
Y02T  10/6286
Y02T  10/64
Y02T  10/641
Y02T  10/642
Y02T  10/645
Y02T  10/70
Y02T  10/7005
Y02T  10/7011
Y02T  10/7044
Y02T  10/705
Y02T  10/7066
Y02T  10/7072
Y02T  10/7088
Y02T  10/72
Y02T  10/7241
Y02T  10/7258
Y02T  10/7283
Y02T  10/80
Y02T  10/82
Y02T  10/84
Y02T  10/86
Y02T  10/88
Y02T  10/90
Y02T  10/92
Y02T  30/00
Y02T  30/18
Y02T  30/40
Y02T  50/00
Y02T  50/10
Y02T  50/14
Y02T  50/145
Y02T  50/30
Y02T  50/40
Y02T  50/50
Y02T  50/60
Y02T  50/671
Y02T  50/672
Y02T  50/675
Y02T  50/678
Y02T  50/80
Y02T  70/00
Y02T  70/10
Y02T  70/50
Y02T  70/5218
Y02T  70/5236
Y02T  70/5254
Y02T  90/00
Y02T  90/10
Y02T  90/12
Y02T  90/121
Y02T  90/122
Y02T  90/125
Y02T  90/128
Y02T  90/14
Y02T  90/16
Y02T  90/167
Y02T  90/168
Y02T  90/169
Y02T  90/32
Y02T  90/34
Y02T  90/40
