Code
Y02P  10/10
Y02P  10/122
Y02P  10/134
Y02P  10/143
Y02P  10/146
Y02P  10/20
Y02P  10/212
Y02P  10/25
Y02P  10/32
Y02P  20/00
Y02P  20/10
Y02P  20/129
Y02P  20/133
Y02P  20/141
Y02P  20/143
Y02P  20/145
Y02P  20/151
Y02P  20/155
Y02P  20/156
Y02P  20/20
Y02P  20/30
Y02P  20/40
Y02P  20/50
Y02P  20/52
Y02P  20/54
Y02P  20/55
Y02P  20/57
Y02P  20/582
Y02P  20/584
Y02P  20/59
Y02P  30/00
Y02P  30/20
Y02P  30/40
Y02P  40/00
Y02P  40/10
Y02P  40/121
Y02P  40/125
Y02P  40/18
Y02P  40/40
Y02P  40/45
Y02P  40/50
Y02P  40/57
Y02P  40/60
Y02P  60/00
Y02P  60/12
Y02P  60/14
Y02P  60/20
Y02P  60/21
Y02P  60/22
Y02P  60/30
Y02P  60/40
Y02P  60/50
Y02P  60/52
Y02P  60/60
Y02P  60/80
Y02P  60/85
Y02P  60/87
Y02P  70/00
Y02P  70/10
Y02P  70/50
Y02P  70/521
Y02P  70/54
Y02P  70/56
Y02P  70/62
Y02P  80/00
Y02P  80/10
Y02P  80/14
Y02P  80/15
Y02P  80/154
Y02P  80/20
Y02P  80/30
Y02P  80/40
Y02P  90/00
Y02P  90/02
Y02P  90/30
Y02P  90/40
Y02P  90/45
Y02P  90/50
Y02P  90/60
Y02P  90/70
Y02P  90/80
Y02P  90/82
Y02P  90/84
Y02P  90/845
Y02P  90/90
